State,zipcode,Mean Income,Estimated Investments,Home_Value
AL,36784,"58,686.80","22,759","132,146"
AL,36785,"57,041.31",19783,"133,921"
AL,36786,"30,035.09",316,
AL,36792,"66,467.35",13592,"204,417"
AL,36793,"60,333.34",2190,"210,017"
AL,36801,"67,517.21","54,063","268,481"
AL,36804,"63,684.49","28,711","296,595"
AL,36830,"113,423.65","114,415","390,892"
AL,36832,"64,639.49","30,359","332,350"
AL,36850,"46,581.73",5635,"97,740"
AL,36852,"51,578.70",3944,"240,211"
AL,36853,"95,979.37","92,503","470,581"
AL,36854,"52,496.24","15,805","157,682"
AL,36855,"58,672.22",14000,"170,505"
AL,36856,"54,927.27",3580,"295,503"
AL,36858,"47,621.05",632,"176,748"
AL,36860,"40,590.74",13481,"85,460"
AL,36861,"83,723.24","68,507","526,783"
AL,36862,"52,854.42","23,779","130,221"
AL,36863,"47,356.93","31,357","113,707"
AL,36866,"54,806.17","25,469","176,494"
AL,36867,"58,363.57","29,047","174,687"
AL,36869,"41,720.70","10,858","154,258"
AL,36870,"55,457.92","7,480","226,041"
AL,36871,"51,865.91",10591,"173,349"
AL,36874,"76,821.11","24,543","306,332"
AL,36875,"59,030.81","19,092","220,886"
AL,36877,"68,446.10","25,212","266,101"
AL,36879,"119,745.86","88,677","440,968"
AL,36904,"65,521.77","25,333","131,131"
AL,36907,"45,111.29",7032,
AL,36908,"62,650.59",8824,
AL,36912,"41,728.13",1063,
AL,36915,"59,031.58",2105,
AL,36916,"45,004.35",1217,
AL,36919,"51,836.11",2583,
AL,36921,"63,402.86",6571,
AL,36922,"40,247.37",632,
AL,36925,"35,615.89",7121,"63,404"
AL,99999,"137,690.21","216,097",
AR,00000,"75,835.15","142,701",
AR,71601,"37,084.44","4,960","43,632"
AR,71602,"62,309.48","20,067","131,087"
AR,71603,"53,027.89","26,180","94,280"
AR,71631,"45,390.91",545,
AR,71635,"54,439.01","16,392","73,708"
AR,71638,"46,211.83",7613,"53,497"
AR,71639,"50,153.21","12,587","90,760"
AR,71640,"34,952.22",2378,"49,429"
AR,71642,"54,215.00",7900,
AR,71643,"43,757.14",2629,
AR,71644,"49,685.72",2143,
AR,71646,"58,080.27","13,040","91,299"
AR,71647,"56,530.51",3932,
AR,71652,"45,250.00",2600,"97,088"
AR,71653,"79,078.29","56,709","155,539"
AR,71654,"63,349.39","30,585","67,066"
AR,71655,"59,711.64","60,989","153,764"
